category_codes,category_codes_des,block_codes,block_codes_des,chapter_codes,chapter_codes_des
A00,Cholera,A00-A09,Intestinal infectious diseases (A00-A09),1,Certain infectious and parasitic diseases (A00-B99)
A01,Typhoid and paratyphoid fevers,A00-A09,Intestinal infectious diseases (A00-A09),1,Certain infectious and parasitic diseases (A00-B99)
A02,Other salmonella infections,A00-A09,Intestinal infectious diseases (A00-A09),1,Certain infectious and parasitic diseases (A00-B99)
A03,Shigellosis,A00-A09,Intestinal infectious diseases (A00-A09),1,Certain infectious and parasitic diseases (A00-B99)
A04,Other bacterial intestinal infections,A00-A09,Intestinal infectious diseases (A00-A09),1,Certain infectious and parasitic diseases (A00-B99)
A05,"Other bacterial foodborne intoxications, not elsewhere classified",A00-A09,Intestinal infectious diseases (A00-A09),1,Certain infectious and parasitic diseases (A00-B99)
A06,Amebiasis,A00-A09,Intestinal infectious diseases (A00-A09),1,Certain infectious and parasitic diseases (A00-B99)
A07,Other protozoal intestinal diseases,A00-A09,Intestinal infectious diseases (A00-A09),1,Certain infectious and parasitic diseases (A00-B99)
A08,Viral and other specified intestinal infections,A00-A09,Intestinal infectious diseases (A00-A09),1,Certain infectious and parasitic diseases (A00-B99)
A09,"Infectious gastroenteritis and colitis, unspecified",A00-A09,Intestinal infectious diseases (A00-A09),1,Certain infectious and parasitic diseases (A00-B99)
A15,Respiratory tuberculosis,A15-A19,Tuberculosis (A15-A19),1,Certain infectious and parasitic diseases (A00-B99)
A17,Tuberculosis of nervous system,A15-A19,Tuberculosis (A15-A19),1,Certain infectious and parasitic diseases (A00-B99)
A18,Tuberculosis of other organs,A15-A19,Tuberculosis (A15-A19),1,Certain infectious and parasitic diseases (A00-B99)
A19,Miliary tuberculosis,A15-A19,Tuberculosis (A15-A19),1,Certain infectious and parasitic diseases (A00-B99)
A20,Plague,A20-A28,Certain zoonotic bacterial diseases (A20-A28),1,Certain infectious and parasitic diseases (A00-B99)
A21,Tularemia,A20-A28,Certain zoonotic bacterial diseases (A20-A28),1,Certain infectious and parasitic diseases (A00-B99)
A22,Anthrax,A20-A28,Certain zoonotic bacterial diseases (A20-A28),1,Certain infectious and parasitic diseases (A00-B99)
A23,Brucellosis,A20-A28,Certain zoonotic bacterial diseases (A20-A28),1,Certain infectious and parasitic diseases (A00-B99)
A24,Glanders and melioidosis,A20-A28,Certain zoonotic bacterial diseases (A20-A28),1,Certain infectious and parasitic diseases (A00-B99)
A25,Rat-bite fevers,A20-A28,Certain zoonotic bacterial diseases (A20-A28),1,Certain infectious and parasitic diseases (A00-B99)
A26,Erysipeloid,A20-A28,Certain zoonotic bacterial diseases (A20-A28),1,Certain infectious and parasitic diseases (A00-B99)
A27,Leptospirosis,A20-A28,Certain zoonotic bacterial diseases (A20-A28),1,Certain infectious and parasitic diseases (A00-B99)
A28,"Other zoonotic bacterial diseases, not elsewhere classified",A20-A28,Certain zoonotic bacterial diseases (A20-A28),1,Certain infectious and parasitic diseases (A00-B99)
A30,Leprosy [Hansen's disease],A30-A49,Other bacterial diseases (A30-A49),1,Certain infectious and parasitic diseases (A00-B99)
A31,Infection due to other mycobacteria,A30-A49,Other bacterial diseases (A30-A49),1,Certain infectious and parasitic diseases (A00-B99)
A32,Listeriosis,A30-A49,Other bacterial diseases (A30-A49),1,Certain infectious and parasitic diseases (A00-B99)
A33,Tetanus neonatorum,A30-A49,Other bacterial diseases (A30-A49),1,Certain infectious and parasitic diseases (A00-B99)
A34,Obstetrical tetanus,A30-A49,Other bacterial diseases (A30-A49),1,Certain infectious and parasitic diseases (A00-B99)
A35,Other tetanus,A30-A49,Other bacterial diseases (A30-A49),1,Certain infectious and parasitic diseases (A00-B99)
A36,Diphtheria,A30-A49,Other bacterial diseases (A30-A49),1,Certain infectious and parasitic diseases (A00-B99)
A37,Whooping cough,A30-A49,Other bacterial diseases (A30-A49),1,Certain infectious and parasitic diseases (A00-B99)
A38,Scarlet fever,A30-A49,Other bacterial diseases (A30-A49),1,Certain infectious and parasitic diseases (A00-B99)
A39,Meningococcal infection,A30-A49,Other bacterial diseases (A30-A49),1,Certain infectious and parasitic diseases (A00-B99)
A40,Streptococcal sepsis,A30-A49,Other bacterial diseases (A30-A49),1,Certain infectious and parasitic diseases (A00-B99)
A41,Other sepsis,A30-A49,Other bacterial diseases (A30-A49),1,Certain infectious and parasitic diseases (A00-B99)
A42,Actinomycosis,A30-A49,Other bacterial diseases (A30-A49),1,Certain infectious and parasitic diseases (A00-B99)
A43,Nocardiosis,A30-A49,Other bacterial diseases (A30-A49),1,Certain infectious and parasitic diseases (A00-B99)
A44,Bartonellosis,A30-A49,Other bacterial diseases (A30-A49),1,Certain infectious and parasitic diseases (A00-B99)
A46,Erysipelas,A30-A49,Other bacterial diseases (A30-A49),1,Certain infectious and parasitic diseases (A00-B99)
A48,"Other bacterial diseases, not elsewhere classified",A30-A49,Other bacterial diseases (A30-A49),1,Certain infectious and parasitic diseases (A00-B99)
A49,Bacterial infection of unspecified site,A30-A49,Other bacterial diseases (A30-A49),1,Certain infectious and parasitic diseases (A00-B99)
A50,Congenital syphilis,A50-A64,Infections with a predominantly sexual mode of transmission (A50-A64),1,Certain infectious and parasitic diseases (A00-B99)
A51,Early syphilis,A50-A64,Infections with a predominantly sexual mode of transmission (A50-A64),1,Certain infectious and parasitic diseases (A00-B99)
A52,Late syphilis,A50-A64,Infections with a predominantly sexual mode of transmission (A50-A64),1,Certain infectious and parasitic diseases (A00-B99)
A53,Other and unspecified syphilis,A50-A64,Infections with a predominantly sexual mode of transmission (A50-A64),1,Certain infectious and parasitic diseases (A00-B99)
A54,Gonococcal infection,A50-A64,Infections with a predominantly sexual mode of transmission (A50-A64),1,Certain infectious and parasitic diseases (A00-B99)
A55,Chlamydial lymphogranuloma (venereum),A50-A64,Infections with a predominantly sexual mode of transmission (A50-A64),1,Certain infectious and parasitic diseases (A00-B99)
A56,Other sexually transmitted chlamydial diseases,A50-A64,Infections with a predominantly sexual mode of transmission (A50-A64),1,Certain infectious and parasitic diseases (A00-B99)
A57,Chancroid,A50-A64,Infections with a predominantly sexual mode of transmission (A50-A64),1,Certain infectious and parasitic diseases (A00-B99)
A58,Granuloma inguinale,A50-A64,Infections with a predominantly sexual mode of transmission (A50-A64),1,Certain infectious and parasitic diseases (A00-B99)
A59,Trichomoniasis,A50-A64,Infections with a predominantly sexual mode of transmission (A50-A64),1,Certain infectious and parasitic diseases (A00-B99)
A60,Anogenital herpesviral [herpes simplex] infections,A50-A64,Infections with a predominantly sexual mode of transmission (A50-A64),1,Certain infectious and parasitic diseases (A00-B99)
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",A50-A64,Infections with a predominantly sexual mode of transmission (A50-A64),1,Certain infectious and parasitic diseases (A00-B99)
A64,Unspecified sexually transmitted disease,A50-A64,Infections with a predominantly sexual mode of transmission (A50-A64),1,Certain infectious and parasitic diseases (A00-B99)
