category_codes,category_codes_des,block_codes,block_codes_des,chapter_codes,chapter_codes_des
1,Cholera,001-009,Intestinal Infectious Diseases,001-139,Infectious And Parasitic Diseases
2,Typhoid and paratyphoid fevers,001-009,Intestinal Infectious Diseases,001-139,Infectious And Parasitic Diseases
3,Other salmonella infections,001-009,Intestinal Infectious Diseases,001-139,Infectious And Parasitic Diseases
4,Shigellosis,001-009,Intestinal Infectious Diseases,001-139,Infectious And Parasitic Diseases
5,Other food poisoning (bacterial),001-009,Intestinal Infectious Diseases,001-139,Infectious And Parasitic Diseases
6,Amebiasis,001-009,Intestinal Infectious Diseases,001-139,Infectious And Parasitic Diseases
7,Other protozoal intestinal diseases,001-009,Intestinal Infectious Diseases,001-139,Infectious And Parasitic Diseases
8,Intestinal infections due to other organisms,001-009,Intestinal Infectious Diseases,001-139,Infectious And Parasitic Diseases
9,Ill-defined intestinal infections,001-009,Intestinal Infectious Diseases,001-139,Infectious And Parasitic Diseases
10,Primary tuberculous infection,010-018,Tuberculosis,001-139,Infectious And Parasitic Diseases
11,Pulmonary tuberculosis,010-018,Tuberculosis,001-139,Infectious And Parasitic Diseases
12,Other respiratory tuberculosis,010-018,Tuberculosis,001-139,Infectious And Parasitic Diseases
13,Tuberculosis of meninges and central nervous system,010-018,Tuberculosis,001-139,Infectious And Parasitic Diseases
14,Tuberculosis of intestines peritoneum and mesenteric glands,010-018,Tuberculosis,001-139,Infectious And Parasitic Diseases
15,Tuberculosis of bones and joints,010-018,Tuberculosis,001-139,Infectious And Parasitic Diseases
16,Tuberculosis of genitourinary system,010-018,Tuberculosis,001-139,Infectious And Parasitic Diseases
17,Tuberculosis of other organs,010-018,Tuberculosis,001-139,Infectious And Parasitic Diseases
18,Miliary tuberculosis,010-018,Tuberculosis,001-139,Infectious And Parasitic Diseases
20,Plague,020-027,Zoonotic Bacterial Diseases,001-139,Infectious And Parasitic Diseases
21,Tularemia,020-027,Zoonotic Bacterial Diseases,001-139,Infectious And Parasitic Diseases
22,Anthrax,020-027,Zoonotic Bacterial Diseases,001-139,Infectious And Parasitic Diseases
