800-999 Injury And Poisoning
	800-804 Fracture Of Skull
		800 Fracture of vault of skull
			800 Fracture of vault of skull
			800.0 Closed fracture of vault of skull without mention of intracranial injury
			800.00 Closed fracture of vault of skull without mention of intracranial injury, unspecified state of consciousness
			800.01 Closed fracture of vault of skull without mention of intracranial injury, with no loss of consciousness
			800.02 Closed fracture of vault of skull without mention of intracranial injury, with brief [less than one hour] loss of consciousness
			800.03 Closed fracture of vault of skull without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness
			800.04 Closed fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			800.05 Closed fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			800.06 Closed fracture of vault of skull without mention of intracranial injury, with loss of consciousness of unspecified duration
			800.09 Closed fracture of vault of skull without mention of intracranial injury, with concussion, unspecified
			800.1 Closed fracture of vault of skull with cerebral laceration and contusion
			800.10 Closed fracture of vault of skull with cerebral laceration and contusion, unspecified state of consciousness
			800.11 Closed fracture of vault of skull with cerebral laceration and contusion, with no loss of consciousness
			800.12 Closed fracture of vault of skull with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness
			800.13 Closed fracture of vault of skull with cerebral laceration and contusion, with moderate [1-24 hours] loss of consciousness
			800.14 Closed fracture of vault of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			800.15 Closed fracture of vault of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			800.16 Closed fracture of vault of skull with cerebral laceration and contusion, with loss of consciousness of unspecified duration
			800.19 Closed fracture of vault of skull with cerebral laceration and contusion, with concussion, unspecified
			800.2 Closed fracture of vault of skull with subarachnoid subdural and extradural hemorrhage
			800.20 Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness
			800.21 Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness
			800.22 Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness
			800.23 Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with moderate [1-24 hours] loss of consciousness
			800.24 Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			800.25 Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			800.26 Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration
			800.29 Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified
			800.3 Closed fracture of vault of skull with other and unspecified intracranial hemorrhage
			800.30 Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, unspecified state of consciousness
			800.31 Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with no loss of consciousness
			800.32 Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness
			800.33 Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness
			800.34 Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			800.35 Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			800.36 Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration
			800.39 Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with concussion, unspecified
			800.4 Closed fracture of vault of skull with intracranial injury of other and unspecified nature
			800.40 Closed fracture of vault of skull with intracranial injury of other and unspecified nature, unspecified state of consciousness
			800.41 Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with no loss of consciousness
			800.42 Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with brief [less than one hour] loss of consciousness
			800.43 Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness
			800.44 Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			800.45 Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			800.46 Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with loss of consciousness of unspecified duration
			800.49 Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with concussion, unspecified
			800.5 Open fracture of vault of skull without mention of intracranial injury
			800.50 Open fracture of vault of skull without mention of intracranial injury, unspecified state of consciousness
			800.51 Open fracture of vault of skull without mention of intracranial injury, with no loss of consciousness
			800.52 Open fracture of vault of skull without mention of intracranial injury, with brief [less than one hour] loss of consciousness
			800.53 Open fracture of vault of skull without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness
			800.54 Open fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			800.55 Open fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			800.56 Open fracture of vault of skull without mention of intracranial injury, with loss of consciousness of unspecified duration
			800.59 Open fracture of vault of skull without mention of intracranial injury, with concussion, unspecified
			800.6 Open fracture of vault of skull with cerebral laceration and contusion
			800.60 Open fracture of vault of skull with cerebral laceration and contusion, unspecified state of consciousness
			800.61 Open fracture of vault of skull with cerebral laceration and contusion, with no loss of consciousness
			800.62 Open fracture of vault of skull with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness
			800.63 Open fracture of vault of skull with cerebral laceration and contusion, with moderate [1-24 hours] loss of consciousness
			800.64 Open fracture of vault of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			800.65 Open fracture of vault of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			800.66 Open fracture of vault of skull with cerebral laceration and contusion, with loss of consciousness of unspecified duration
			800.69 Open fracture of vault of skull with cerebral laceration and contusion, with concussion, unspecified
			800.7 Open fracture of vault of skull with subarachnoid subdural and extradural hemorrhage
			800.70 Open fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness
			800.71 Open fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness
